* This file contains selected reference data values generated for a CCS calibration
* The calibration curve is given as Adjusted CCS (OmegaC) = Coefficient(tc + t0)^Exponent
* Coefficient: 349.398
* Exponent: 0.52113
* RMS % CCS: 0.507354
* RSqd: 0.999626
* t0: 1.54331
* tc,OmegaC,m/z
2.16905,683.99832,195.08765
2.63030,730.83618,215.05972
7.34867,1087.65568,516.27764
8.79889,1178.96204,587.31475
10.12310,1259.62297,658.35187
11.37299,1329.65553,729.38898
12.79302,1409.88089,800.42609
14.23314,1469.13468,871.46321
15.68936,1533.45189,942.50032
17.08690,1597.65866,1013.53743
18.62917,1680.06629,1084.57455
20.11883,1744.64807,1155.61166
12.23823,1373.82624,1022.00341
13.74595,1445.51636,1121.99702
